,Energy_Generated_KWh,Temperature_C,apparent_zenith,azimuth,poa_global
2012-06-29,11.746044184309747,24.653299285759665,96.72708102907494,64.24916220372535,1305.116020478861
2012-06-30,12.415713671457496,21.195705066458814,96.78782833226533,64.29174204126593,1379.523741273055
2012-07-01,12.223537010220706,18.728273175175012,96.84966658914823,64.34108742268239,1358.1707789134118
2012-07-02,12.00613745646722,21.171906206459795,96.91252564444771,64.39719273488265,1334.0152729408023
2012-07-03,11.809128726556715,25.85447541419481,96.97633804270838,64.46005059195579,1312.1254140618573
2012-07-04,11.647908155828558,26.899959329889626,97.04103824825889,64.52965280255296,1294.2120173142841
2012-07-05,11.90275793406279,24.429380944275344,97.10656170750532,64.6059906768188,1322.5286593403098
2012-07-06,11.592630922007528,29.092119880819823,97.17284372159529,64.6890546009376,1288.0701024452808
2012-07-07,11.834199564856274,26.00896129683932,97.23981822756105,64.77883318805453,1314.9110627618081
2012-07-08,12.767220484627899,24.889046642284082,97.30741674892224,64.8753124743289,1418.5800538475441
2012-07-09,11.938995415498601,22.20116293059319,97.3755677617433,64.97847548917508,1326.5550461665114
2012-07-10,11.75629662077774,19.266429483107608,97.44419658164617,65.08830221043593,1306.2551800864155
2012-07-11,12.116853469491135,23.744791613900464,97.51322569118688,65.20476968570932,1346.3170521656816
2012-07-12,11.991463377424896,27.34333301105887,97.58257529777406,65.32785211517125,1332.3848197138773
2012-07-13,12.895010445488346,27.45052256525081,97.65216393685458,65.45752085594597,1432.7789383875938
2012-07-14,12.414971655417743,23.68685867966776,97.72190900006636,65.59374444682436,1379.441295046416
2012-07-15,12.176965917975002,21.48043191735759,97.79172712337788,65.73648874237739,1352.9962131083337
2012-07-16,11.312056572981502,22.56429546839722,97.86153442152902,65.88571713550948,1256.8951747757226
2012-07-17,12.247085492135065,24.800644559856803,97.93124656756316,66.04139079297642,1360.787276903896
2012-07-18,11.447449070639488,20.588671630080807,98.00077879615371,66.20346885778082,1271.9387856266098
2012-07-19,12.35606561050817,23.351174046134968,98.07004595605798,66.37190863706257,1372.896178945352
2012-07-20,11.38723250180119,21.06132501522946,98.1389627533571,66.5466657809817,1265.2480557556878
2012-07-21,11.710181665033106,25.429679125191925,98.20744427111097,66.72769437840134,1301.1312961147896
2012-07-22,12.689480741575675,20.612084165800624,98.27540676597015,66.91494684826517,1409.9423046195193
2012-07-23,11.91511353777442,23.616680012832855,98.34276867702455,67.10837357262403,1323.901504197158
2012-07-24,12.074277356358103,23.447534193440195,98.4094517539771,67.30792235924508,1341.5863729286782
2012-07-25,11.383690362257697,24.069755481455193,98.4753822008021,67.51353791847782,1264.8544846952998
